state,district,block_id,block_name,panchayat_id,panchayat_name,rainfall_mm,mapping_method
MAHARASHTRA,Kolhapur,4419,AJARA,178202,ARDAL,1.2757874727249146,direct_grid
MAHARASHTRA,Kolhapur,4419,AJARA,178204,BAHIREWADI,1.1628578901290894,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178206,BHADVAN,1.2436922788619995,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178207,BHADVANWADI,1.2436922788619995,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178218,DHAMANE,1.2103599309921265,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178220,GAJARGAON,1.1252262592315674,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178222,HAJGOLI BUDRUK,1.2436922788619995,direct_grid
MAHARASHTRA,Kolhapur,4419,AJARA,178228,HONEWADI,1.3420840501785278,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178231,JADHEWADI,1.2757874727249146,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178232,KANOLI,1.1252262592315674,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178233,KARPEWADI,0.7068060040473938,direct_grid
MAHARASHTRA,Kolhapur,4419,AJARA,178237,KHORATWADI,1.2757874727249146,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178238,KINE,1.2219246625900269,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178240,KOLINDRE,1.2219246625900269,direct_grid
MAHARASHTRA,Kolhapur,4419,AJARA,178242,KOWADE,1.1252262592315674,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178243,LAKUDWADI,1.2020955085754395,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178247,MALIGRE,1.2219246625900269,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178248,MASEWADI,1.2757874727249146,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178250,MENDHOLI,1.3420840501785278,direct_grid
MAHARASHTRA,Kolhapur,4419,AJARA,178251,MUMEWADI,1.0803405046463013,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178253,NIGUDAGE,1.1252262592315674,direct_grid
MAHARASHTRA,Kolhapur,4419,AJARA,178255,PEDREWADI,1.2436922788619995,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178256,PENDHARWADI,1.2757874727249146,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178257,PERNOLI,0.6969574689865112,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178260,SARAMBALWADI,1.1252262592315674,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178261,SAROLI,1.1252262592315674,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178263,SIRSANGI,1.3420840501785278,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178264,SHRUNGARWADI,1.3834116458892822,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178266,SULE,1.2219246625900269,nearest_fallback
MAHARASHTRA,Kolhapur,4419,AJARA,178269,UTTUR,1.2103599309921265,direct_grid
MAHARASHTRA,Kolhapur,4419,AJARA,178271,VATANGI,1.3834116458892822,direct_grid
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178401,ADKUR,1.5944108963012695,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178403,AMBEWADI,1.8830249309539795,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178404,AMAROLI,1.5944108963012695,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178405,ASAGOLI,1.5944108963012695,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178407,BAGILAGE,1.547977089881897,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178408,BASARGE,1.667904257774353,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178410,BONJURDI MOREWADI,1.3834116458892822,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178412,BUKKIHAL,1.5223116874694824,direct_grid
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178414,CHINCHANE,1.2889440059661865,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178415,DATE,1.6568504571914673,direct_grid
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178416,DEVARWADI,1.6619595289230347,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178417,DHEKOLI,1.7281304597854614,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178418,DHOLGARWADI,1.5213372707366943,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178419,DHUMADEWADI,1.7055329084396362,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178420,DINDALKOP,1.453361988067627,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178421,DUKKARWADI,1.547977089881897,direct_grid
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178422,DUNDAGE,1.4583663940429688,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178424,GHULLEWADI,1.4502745866775513,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178425,GUDEWADI,1.547977089881897,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178427,HAJAGOLI,1.927115559577942,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178428,HALKARNI,1.7055329084396362,nearest_fallback
MAHARASHTRA,Kolhapur,4422,CHANDGAD,178429,HALLARWADI,1.8830249309539795,nearest_fallback
