state,district,block_id,block_name,panchayat_id,panchayat_name,rainfall_mm,mapping_method
KARNATAKA,Chikkamagaluru,5803,KADUR,216835,ANNEGERE,2.2269644737243652,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216836,ANTHARAGATTA,1.8714097738265991,nearest_fallback
KARNATAKA,Chikkamagaluru,5803,KADUR,216838,BALLEKERE,2.4996302127838135,nearest_fallback
KARNATAKA,Chikkamagaluru,5803,KADUR,216839,BALLIGANUR,2.064389228820801,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216840,BANUR,2.7481863498687744,nearest_fallback
KARNATAKA,Chikkamagaluru,5803,KADUR,216841,BASUR,2.096170663833618,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216842,BILUVALA,2.117431879043579,nearest_fallback
KARNATAKA,Chikkamagaluru,5803,KADUR,216843,BISLEHALLI,2.419189453125,nearest_fallback
KARNATAKA,Chikkamagaluru,5803,KADUR,216844,BISLERE,1.988908290863037,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216845,CHEELANAHALLI,2.2170679569244385,nearest_fallback
KARNATAKA,Chikkamagaluru,5803,KADUR,216846,CHIKKABALLEKERE,2.16684889793396,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216847,CHIKKADEVANUR,2.4623634815216064,nearest_fallback
KARNATAKA,Chikkamagaluru,5803,KADUR,216848,CHIKKANGALA,2.219024896621704,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216849,CHOWLAHIRIYUR,2.4623634815216064,nearest_fallback
KARNATAKA,Chikkamagaluru,5803,KADUR,216850,DEVANUR,2.5519886016845703,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216851,GANGANAHALLI,2.0874266624450684,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216852,GARJE,2.117431879043579,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216854,HALIKERE,2.9970476627349854,nearest_fallback
KARNATAKA,Chikkamagaluru,5803,KADUR,216855,HIRENALLUR,1.907280445098877,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216856,HOCHIHALLI,2.132793426513672,nearest_fallback
KARNATAKA,Chikkamagaluru,5803,KADUR,216857,JODIHOCHIHALLI,2.4996302127838135,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216858,HULLEHALLI,2.051594853401184,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216859,JIGANEHALLI,2.537584066390991,direct_grid
KARNATAKA,Chikkamagaluru,5803,KADUR,216860,JODITHIMMAPURA,2.1933562755584717,nearest_fallback
